"ID","ParentID","Radial.distance","Angle","Cluster.size","Species","Cue","Observer","CSLow","CSHigh","OnWater","Aspect","Sightability","KWTransRes","distance"
69,6,226.9192058,12,3,"HP",3,"RW",3,4,"w",3,1,"",47.1791557569011
71,6,165.2710445,18,1,"HP",1,"SH",1,1,"w",2,1,"",51.0715614285982
75,6,617.0118995,32,3,"HP",1,"SH",3,4,"w",1,1,"",326.966491806172
82,6,1652.710445,60,1,"HP",1,"SH",1,1,"w",2,1,"",1431.28923046988
83,6,99.16262671,64,3,"HP",1,"SH",3,3,"w",2,1,"",89.1267785023348
87,6,200,69,2,"HP",1,"CM",2,2,"w",2,1,"",186.716085299440
88,6,260,69,1,"HP",1,"SH",1,1,"w",2,1,"",242.730910889272
114,8,131.8391562,3,2,"HP",1,"oa",2,3,"w",3,3,"",6.89992830998984
163,9,109.8659635,47,1,"HP",1,"OA",1,1,"w",2,2,"",80.3508790876817
310,18,139.5730706,61,3,"HP",1,"NE",3,3,"w",1,2,"",122.073358132718
315,18,316,90,2,"HP",1,"NE",2,2,"w",5,2,"",316
319,19,201.2992955,4,2,"HP",1,"RW",2,2,"w",2,1,"",14.0419290212567
320,19,731.997438,5,2,"HP",1,"rw",2,2,"w",2,1,"",63.7977803982729
321,19,173.8493915,5,1,"HP",1,"RW",1,1,"w",2,1,"",15.1519728424109
324,19,318.6112942,11,1,"HP",1,"OA",1,1,"w",2,1,"",60.7939009619228
325,19,210.4492634,11,1,"HP",1,"RW",1,1,"w",4,1,"",40.1556125270879
364,21,574.7126437,39,1,"HP",1,"NE",1,1,"w",1,2,"",361.67838567457
365,21,100.5631537,51,2,"HP",1,"HS",2,2,"w",1,2,"",78.1522487693316
366,21,340.5844869,51,1,"HP",1,"oa",1,2,"w",2,1,"",264.683858529230
367,21,704.5475341,71,2,"HP",1,"rw",1,2,"w",2,1,"",666.162780884243
376,22,353.9823009,11,1,"HP",1,"HS",1,2,"w",2,2,"",67.5430072158068
380,22,301.689461,30,2,"HP",1,"HS",2,2,"w",1,2,"",150.8447305
383,22,435.7736659,39,3,"HP",1,"HS",3,3,"w",1,2,"",274.241253833409
450,30,175,35,1,"HP",1,"e",1,1,"w",1,2,"",100.375876361433
483,33,1067.323481,28,3,"HP",1,"NE",3,3,"w",2,2,"",501.078022623147
484,33,492.6108374,63,1,"HP",1,"NE",1,1,"w",2,2,"",438.919470009295
487,33,724.0547064,81,1,"HP",1,"HS",1,1,"w",4,2,"",715.140391464316
495,34,36.5998719,40,1,"HP",1,"rw",1,1,"w",2,3,"",23.5259441734345
509,35,593.276203,3,1,"HP",1,"oa",1,1,"w",2,1,"",31.0496774001879
614,70,157,9,1,"hp",1,"rw",1,2,"w",1,1,"",24.5602110113162
673,83,227.4225445,73,2,"HP",1,"OA",2,2,"w",2,2,"",217.485260918565
296,17,307.6246979,4,2,"HP",1,"oa",2,4,"w",1,1,"",21.4588141621058
333,19,914.9967975,44,2,"HP",1,"rw",2,2,"w",1,1,"",635.610184326551
334,19,242.4741513,46,1,"HP",1,"RW",1,1,"w",2,1,"",174.421307583426
354,21,231.3794623,3,2,"HP",1,"sh",2,2,"w",2,1,"",12.1094654144487
358,21,321.8020917,18,2,"HP",1,"hs",2,3,"w",1,1,"",99.4423151607052
458,32,256.1991033,3,2,"HP",1,"RW",2,2,"w",2,2,"",13.4084250597902
459,32,283.6490072,8,1,"HP",1,"RW",1,1,"w",1,2,"",39.4763119162679
514,35,417.4906614,78,1,"HP",1,"oa",1,1,"w",2,2,"",408.367488777180
524,37,142.8257526,1,2,"HP",1,"oa",2,3,"w",1,2,"",2.4926530840861
525,37,164.7989453,3,1,"HP",1,"oa",1,1,"w",1,2,"",8.6249103901041
527,37,903.7275409,29,4,"HP",1,"hs",4,4,"w",1,3,"",438.135805909885
530,38,176.2891141,21,2,"HP",1,"sh",1,2,"w",2,4,"",63.1763683471745
636,74,83.13220703,59,2,"HP",1,"hs",2,2,"w",1,2,"",71.2582095013143
637,74,958.7020649,78,2,"HP",1,"hs",2,2,"w",1,2,"",937.75212460048
640,75,821.7974072,7,1,"HP",1,"oa",1,1,"w",1,2,"",100.151910427517
747,104,752.5818501,44,2,"hp",1,"oa",2,3,"w",2,1,"",522.787281627483
748,104,538.3432213,1,2,"hp",1,"oa",2,2,"w",2,1,"",9.39538470088406
791,107,415,16,2,"hp",1,"mf",2,2,"w",2,1,"",114.389502664055
792,107,1000,1,4,"hp",1,"oa",4,5,"w",2,1,"",17.4524064372835
793,107,301.8108652,280,2,"hp",1,"mf",2,2,"w",2,1,"",297.225679992282
794,107,269.1716106,303,3,"hp",1,"oa",3,3,"w",1,1,"",225.746307536687
795,107,593.276203,294,2,"hp",1,"oa",2,3,"w",1,1,"",541.9847803781
796,107,580,87,1,"hp",1,"mf",1,1,"w",1,1,"",579.205130157653
797,107,565,60,2,"hp",1,"oa",2,2,"w",1,1,"",489.304353138208
798,107,285,6,2,"hp",1,"oa",2,2,"w",2,1,"",29.7906120312812
799,107,118,258,3,"hp",1,"oa",3,3,"w",1,1,"",115.421416886589
800,107,410,29,1,"hp",1,"mf",1,1,"w",2,1,"",198.771944300998
801,107,699.8461877,326,2,"hp",1,"oa",2,2,"w",1,1,"",391.349021682897
802,107,510,356,3,"hp",1,"oa",3,3,"w",1,1,"",35.5758016095036
1035,116,121.2799701,303,2,"hp",1,"mm",2,2,"w",1,2,"",101.713941404171
1038,117,76.90617447,319,2,"hp",1,"oa",2,2,"w",1,2,"",50.4549901461627
760,105,310,1,2,"hp",2,"mm",2,2,"w",1,1,"",5.41024599555789
761,105,174,51,2,"hp",3,"oa",2,3,"w",1,1,"",135.223397293513
777,106,125.3545613,48,1,"hp",1,"rw",1,1,"w",2,2,"",93.1565935800838
813,108,109.8659635,5,1,"hp",1,"oa",1,1,"w",1,2,"",9.5754496515296
833,109,422.9839596,7,2,"hp",3,"oa",2,2,"w",1,2,"",51.5487774273614
1002,114,401.0107669,54,1,"hp",1,"oa",1,1,"w",3,2,"",324.424525349431
